"","Meses","hn1299","cr0615","sv1209","gt1210","ni06","pa1002","us8284","mx1210","eur05","chi1299","mes"
"1",1995-01-01,44.7471093140384,15.7,56.55,34.0505457682227,35.13,62.1085473468532,150.353773584906,20.468620185776,69.426976744186,71.3715489196407,"ene. 95"
"2",1995-02-01,46.9603461729446,15.93,57.17,33.9380493576741,35.42,62.1085473468532,151.007485643971,21.336132926014,69.7863296258847,72.0202120255725,"feb. 95"
"3",1995-03-01,47.6200610058878,16.06,57.81,34.100917638324,35.62,62.283173065729,151.530455291222,22.593921331191,70.0019413549039,72.2219584041434,"mar. 95"
"4",1995-04-01,48.8401787614386,16.15,58.17,34.3627486535187,35.61,62.3995902116463,152.053424938474,24.39428249881,70.1456825075834,73.5183054139354,"abr. 95"
"5",1995-05-01,49.7268922465773,16.3,58.58,34.869639937849,35.86,62.5742159305222,152.3149097621,25.413863095033,70.2175530839232,74.1272177713037,"may. 95"
"6",1995-06-01,50.1879832588494,16.54,59.09,35.3100525242581,36.52,62.6906330764394,152.576394585726,26.220434064532,70.4331648129424,73.5119454560168,"jun. 95"
"7",1995-07-01,50.8618855075548,16.82,60.63,35.3844687035171,36.96,62.748841649398,152.576394585726,26.754964051499,70.4331648129424,72.8992344420167,"jul. 95"
"8",1995-08-01,51.5357877562602,17,61.05,35.5996278095805,36.37,62.8652587953153,152.968621821165,27.198750022412,70.5050353892821,74.1183296916727,"ago. 95"
"9",1995-09-01,52.5927502305455,17.32,61.86,35.8000026036902,36.75,62.8070502223567,153.360849056604,20.85564,70.6487765419616,76.0970097920207,"sep. 95"
"10",1995-10-01,53.5716819181386,17.84,62.14,36.301435675146,38.16,62.6906330764394,153.753076292043,21.28476,70.7206471183013,76.143661892045,"oct. 95"
"11",1995-11-01,54.3165212456551,18.26,62.41,36.7781965166965,39.25,62.6906330764394,153.753076292043,21.80961,70.792517694641,76.067730031561,"nov. 95"
"12",1995-12-01,55.153578775626,18.47,62.48,36.9608832907158,38.88,62.9234673682739,153.62233388023,22.52017,70.9362588473205,76.3746993606862,"dic. 95"
"13",1996-01-01,55.4302333829893,18.7,63.45,37.3738127769182,39.06,62.9234673682739,154.53753076292,23.32975,71.08,77.7949882657603,"ene. 96"
"14",1996-02-01,57.0050365325956,18.9,63.6,37.6134634888438,39.46,62.9234673682739,154.642124692371,23.87426,71.4,78.718091769847,"feb. 96"
"15",1996-03-01,57.8846563098532,19,63.91,38.0141376951809,39.78,63.0980930871498,155.84495488105,24.39983,71.66,79.299710285668,"mar. 96"
"16",1996-04-01,59.0834929417607,19.14,64.15,38.4678495396652,40.11,63.214510233067,156.367924528302,25.09345,71.77,80.6495816136603,"abr. 96"
"17",1996-05-01,60.3107044051926,19.46,64.63,38.710684004637,40.8,63.0980930871498,156.760151763741,25.55084,71.91,80.7245399368779,"may. 96"
"18",1996-06-01,61.8358515996311,19.73,65.69,38.959603474207,40.95,63.0398845141912,156.760151763741,25.9669,71.94,79.8339734563405,"jun. 96"
"19",1996-07-01,63.254593175853,19.96,65.69,39.4891913018039,41.06,63.2145102330671,157.15237899918,26.33603,71.95,78.9498705187343,"jul. 96"
"20",1996-08-01,65.0067390224871,20.15,67.66,39.8806940010191,40.74,63.3309273789843,157.413863822806,26.68607,71.95,80.1219147042162,"ago. 96"
"21",1996-09-01,66.1133574519401,20.34,67.25,40.013594581626,41.14,63.5055530978602,157.936833470057,27.11275,72.05,81.7281888807963,"sep. 96"
"22",1996-10-01,67.0922891395332,20.6,67.28,40.162960131678,42.22,63.7965959626533,158.459803117309,27.45117,72.11,81.4737185400987,"oct. 96"
"23",1996-11-01,68.4259062211818,20.81,66.89,40.6190722120363,42.82,63.8548045356119,158.721287940935,27.86708,72.13,81.3164028485879,"nov. 96"
"24",1996-12-01,69.1139958856494,21.03,67.08,40.972743871991,43.59,64.3786816922396,158.721287940935,28.75934,72.31,81.7209282188234,"dic. 96"
"25",1997-01-01,70.5540185855146,21.47,67.61,41.4114268996323,43.49,64.2040559733637,159.244257588187,29.49889,72.54,82.3848927733269,"ene. 97"
"26",1997-02-01,72.2990707242676,21.6,68.54,42.3759719405003,43.48,64.2040559733637,159.767227235439,29.9946,72.7,83.1263049283807,"feb. 97"
"27",1997-03-01,72.8523799389941,21.84,68.67,42.3880410656095,43.45,64.1458474004051,160.159454470878,30.36789,72.72,82.4716986323541,"mar. 97"
"28",1997-04-01,73.2780024118607,22.13,68.71,42.3658835463087,43.6,63.9712216815292,160.290196882691,30.69597,72.76,83.2303682123493,"abr. 97"
"29",1997-05-01,74.2001844364049,22.24,68.56,42.4326660585731,43.93,64.1458474004051,160.159454470878,30.97612,72.92,82.9848272234361,"may. 97"
"30",1997-06-01,75.1507412924736,22.42,68.82,42.4538543837326,44.83,64.2040559733637,160.420939294504,31.25096,72.94,82.0693242696447,"jun. 97"
"31",1997-07-01,76.2077037667589,22.61,69.36,42.6414940286094,45.59,64.3204731192809,160.551681706317,31.52321,73.02,81.0815173585822,"jul. 97"
"32",1997-08-01,77.1440732070653,22.86,68.9,43.0901994891593,45.33,64.3204731192809,160.943908941756,31.8035,73.14,81.6442308003561,"ago. 97"
"33",1997-09-01,77.3923529829042,22.77,68.67,43.3471980629413,44.95,64.3786816922396,161.336136177194,32.19961,73.18,83.1992959456179,"sep. 97"
"34",1997-10-01,77.186635454352,22.81,68.45,43.568969638914,45.18,64.0876388274465,161.728363412633,32.45694,73.21,82.6958242291818,"oct. 97"
"35",1997-11-01,77.7754132084841,23.19,68.37,43.7300779976147,46.49,64.0294302544878,161.59762100082,32.82004,73.3,82.2108837096382,"nov. 97"
"36",1997-12-01,77.9456621976307,23.39,68.38,43.8923430562996,46.75,64.0876388274465,161.466878589007,33.27987,73.32,82.0478125758679,"dic. 97"
"37",1998-01-01,78.5911896148117,23.76,69.22,44.429284634943,47.04,64.320473119281,161.728363412633,34.00393,73.38,82.6320474225136,"ene. 98"
"38",1998-02-01,80.5419592821168,24,69.4,44.6847532116295,47.69,64.1458474004051,161.989848236259,34.59924,73.52,83.0431787650724,"feb. 98"
"39",1998-03-01,81.9039511952898,24.26,69.7,44.9761495688217,48.2,64.2622645463223,162.251333059885,35.00453,73.58,83.0490005664805,"mar. 98"
"40",1998-04-01,83.3226927715117,24.45,70.56,45.3062332352509,49.2,64.2040559733637,162.643560295324,35.33204,73.73,82.9806765396132,"abr. 98"
"41",1998-05-01,84.315811874867,24.64,70.93,45.5386316112319,50.19,64.320473119281,162.90504511895,35.61348,73.87,82.1549793639233,"may. 98"
"42",1998-06-01,85.7983968220189,24.83,71,45.6064452043269,51.15,64.4950988381568,163.166529942576,36.03442,73.88,81.002422918184,"jun. 98"
"43",1998-07-01,87.493793005604,25.26,71.31,45.7420348058778,50.69,64.5533074111155,163.297272354389,36.38188,73.89,79.9463761430768,"jul. 98"
"44",1998-08-01,87.621479747464,25.77,70.44,45.8079259105683,50.43,64.5533074111155,163.421739130435,36.73163,73.89,80.501211459092,"ago. 98"
"45",1998-09-01,87.8839469390651,25.67,69.71,45.7283434067379,50.57,64.9025588488672,163.689499589828,37.32738,73.91,81.9513069515254,"sep. 98"
"46",1998-10-01,88.3734127828616,25.75,69.76,45.73266564807,51.77,65.0189759947845,164.089718415231,37.86227,73.91,81.7861697823096,"oct. 98"
"47",1998-11-01,89.4871249201958,26.09,71.3,46.9446114299677,54.83,65.0189759947845,164.089718415231,38.53279,73.92,81.2243529983006,"nov. 98"
"48",1998-12-01,90.1397460452579,26.28,71.26,47.1743038414976,55.38,64.9607674218258,163.98966370888,39.47297,73.94,81.2273343044428,"dic. 98"
"49",1999-01-01,91.6861743633397,26.75,71.39,47.2245559506682,55.2,65.0189759947845,164.389882534283,40.46977,73.97,81.6404628955248,"ene. 99"
